frame,time,features,flow_left,flow_center,flow_right,speed,simgetimage_s,decode_s,processing_s,loop_s
33,1748979685.16,74,1.644,1.509,6.583,0.97,0.021,0.021,0.0,0.036
34,1748979685.21,74,1.813,1.588,8.601,1.03,0.020,0.020,0.0,0.035
35,1748979685.26,73,1.838,1.756,7.303,1.09,0.020,0.020,0.0,0.034
36,1748979685.31,75,1.922,1.999,3.651,1.16,0.023,0.023,0.0,0.040
37,1748979685.36,75,1.864,1.874,1.826,1.21,0.022,0.022,0.0,0.039
38,1748979685.41,75,1.669,1.702,0.913,1.26,0.023,0.023,0.0,0.038
39,1748979685.46,75,2.023,1.820,0.456,1.31,0.022,0.022,0.0,0.036
40,1748979685.52,75,1.867,1.628,0.228,1.35,0.021,0.021,0.0,0.035
41,1748979685.57,75,1.853,1.591,0.114,1.40,0.022,0.022,0.0,0.037
42,1748979685.62,74,1.850,1.628,0.057,1.44,0.023,0.023,0.0,0.036
43,1748979685.67,75,1.715,1.516,2.087,1.48,0.022,0.022,0.0,0.035
44,1748979685.72,74,1.661,1.518,3.555,1.51,0.024,0.024,0.0,0.039
45,1748979685.77,74,1.665,1.467,4.877,1.55,0.024,0.024,0.0,0.035
46,1748979685.82,75,1.591,1.347,5.626,1.58,0.023,0.023,0.0,0.038
47,1748979685.87,73,1.637,1.391,7.065,1.60,0.022,0.022,0.0,0.035
48,1748979685.92,75,1.523,1.270,8.161,1.63,0.021,0.021,0.0,0.034
49,1748979685.97,75,1.570,1.443,10.459,1.66,0.024,0.024,0.0,0.039
50,1748979686.02,75,1.608,1.511,12.632,1.68,0.023,0.023,0.0,2.262
51,1748979688.28,73,8.197,15.655,25.465,0.93,0.021,0.021,0.0,2.260
52,1748979690.54,70,22.589,34.232,36.225,0.97,0.021,0.021,0.0,2.262
53,1748979692.81,72,29.558,21.778,24.193,0.06,0.022,0.022,0.0,1.041
54,1748979693.85,75,19.053,12.488,16.406,0.00,0.021,0.021,0.0,0.036
55,1748979693.90,75,9.594,6.277,8.303,0.02,0.025,0.025,0.0,0.039
56,1748979693.95,75,5.049,3.248,4.280,0.07,0.025,0.025,0.0,0.038
57,1748979694.00,75,7.049,3.992,4.522,0.07,0.021,0.021,0.0,0.035
58,1748979694.05,75,3.524,3.554,4.031,0.07,0.021,0.021,0.0,0.037
59,1748979694.10,74,3.628,2.810,3.140,0.05,0.022,0.022,0.0,0.036
60,1748979694.15,75,2.841,2.184,2.354,0.04,0.021,0.021,0.0,0.036
61,1748979694.20,75,5.831,3.789,3.723,0.09,0.023,0.023,0.0,0.038
62,1748979694.25,75,5.126,3.342,3.374,0.15,0.022,0.022,0.0,0.035
63,1748979694.30,75,2.563,3.441,3.577,0.22,0.021,0.021,0.0,0.035
64,1748979694.35,75,3.268,3.351,3.719,0.32,0.022,0.022,0.0,0.037
65,1748979694.41,75,2.461,2.760,3.163,0.39,0.023,0.023,0.0,0.038
66,1748979694.46,75,1.343,2.066,2.435,0.46,0.021,0.021,0.0,0.036
67,1748979694.51,75,1.518,1.389,1.661,0.53,0.022,0.022,0.0,0.036
68,1748979694.56,75,2.595,0.867,1.073,0.60,0.023,0.023,0.0,0.037
69,1748979694.61,75,3.297,0.750,0.930,0.67,0.022,0.022,0.0,0.038
70,1748979694.66,75,4.375,0.892,1.050,0.74,0.020,0.020,0.0,0.034
71,1748979694.71,75,5.742,1.163,1.235,0.80,0.021,0.021,0.0,0.036
72,1748979694.76,75,7.049,1.343,1.464,0.87,0.020,0.020,0.0,0.035
73,1748979694.81,74,7.140,1.510,1.606,0.92,0.022,0.022,0.0,0.037
74,1748979694.86,74,5.989,1.500,1.647,0.97,0.019,0.019,0.0,0.033
75,1748979694.91,75,6.255,1.672,1.751,1.04,0.021,0.021,0.0,0.037
76,1748979694.96,74,5.935,1.573,1.830,1.10,0.023,0.023,0.0,0.040
77,1748979695.01,75,6.071,1.596,1.839,1.16,0.025,0.025,0.0,0.041
78,1748979695.06,74,6.011,1.514,1.775,1.21,0.021,0.021,0.0,0.038
79,1748979695.11,74,7.001,1.658,1.882,1.27,0.028,0.028,0.0,0.048
80,1748979695.17,75,7.115,1.533,1.756,1.32,0.027,0.027,0.0,0.046
81,1748979695.22,74,7.867,1.488,1.728,1.36,0.024,0.024,0.0,0.043
82,1748979695.27,75,8.405,1.454,1.681,1.41,0.025,0.025,0.0,0.045
83,1748979695.32,74,4.203,1.423,1.709,1.44,0.027,0.027,0.0,0.046
84,1748979695.37,75,2.101,1.286,1.586,1.48,0.025,0.025,0.0,0.042
85,1748979695.42,75,2.618,1.229,1.584,1.51,0.022,0.022,0.0,0.038
86,1748979695.47,75,1.309,1.286,1.646,1.55,0.026,0.026,0.0,0.040
87,1748979695.52,74,0.655,1.181,1.562,1.58,0.022,0.022,0.0,0.036
88,1748979695.57,75,0.327,1.164,1.563,1.61,0.024,0.024,0.0,0.040
89,1748979695.62,75,0.164,1.125,1.535,1.63,0.025,0.025,0.0,0.042
90,1748979695.67,75,0.082,1.114,1.514,1.66,0.021,0.021,0.0,0.037
91,1748979695.72,75,5.780,1.202,1.620,1.68,0.023,0.023,0.0,0.039
92,1748979695.77,72,6.851,1.145,1.541,1.70,0.023,0.023,0.0,0.038
93,1748979695.82,69,5.495,1.103,1.446,1.72,0.020,0.020,0.0,0.035
94,1748979695.87,73,2.748,0.959,1.253,1.74,0.022,0.022,0.0,0.037
95,1748979695.92,75,4.568,1.225,1.223,1.76,0.023,0.023,0.0,0.038
96,1748979695.98,75,5.711,1.113,1.157,1.77,0.021,0.021,0.0,0.036
97,1748979696.03,75,7.051,1.299,1.115,1.79,0.022,0.022,0.0,1.045
98,1748979697.07,73,24.537,9.203,5.798,0.56,0.021,0.021,0.0,2.259
