frame,time,features,flow_left,flow_center,flow_right,speed,simgetimage_s,decode_s,processing_s,loop_s
31,1748979945.17,75,2.170,1.695,5.399,1.30,0.023,0.023,0.0,0.038
32,1748979945.22,75,2.105,1.521,5.374,1.35,0.022,0.022,0.0,0.036
33,1748979945.27,75,2.146,1.647,5.927,1.40,0.027,0.027,0.0,0.042
34,1748979945.32,74,2.074,1.570,5.781,1.44,0.025,0.025,0.0,0.041
35,1748979945.37,75,1.997,1.438,5.505,1.48,0.024,0.024,0.0,0.040
36,1748979945.42,75,1.860,1.378,4.530,1.51,0.025,0.025,0.0,0.041
37,1748979945.47,75,1.890,1.335,4.379,1.54,0.023,0.023,0.0,0.039
38,1748979945.52,75,1.920,1.289,4.383,1.57,0.022,0.022,0.0,0.038
39,1748979945.57,74,1.825,1.284,4.900,1.61,0.029,0.029,0.0,0.044
40,1748979945.62,74,1.733,1.331,5.260,1.63,0.027,0.027,0.0,0.042
41,1748979945.67,75,1.742,1.158,5.582,1.66,0.028,0.028,0.0,0.041
42,1748979945.72,75,1.720,1.093,5.385,1.68,0.025,0.025,0.0,0.039
43,1748979945.77,74,1.771,1.048,5.038,1.70,0.027,0.027,0.0,0.043
44,1748979945.82,75,1.700,0.927,5.581,1.72,0.026,0.026,0.0,0.041
45,1748979945.87,75,1.716,0.910,6.070,1.74,0.028,0.028,0.0,0.044
46,1748979945.92,74,1.738,0.915,6.993,1.76,0.028,0.028,0.0,0.046
47,1748979945.97,75,1.639,0.918,6.351,1.77,0.027,0.027,0.0,0.044
48,1748979946.02,75,1.726,0.999,6.750,1.79,0.027,0.027,0.0,0.042
49,1748979946.08,75,1.824,1.034,7.536,1.80,0.030,0.030,0.0,0.047
50,1748979946.13,75,1.738,0.947,8.373,1.81,0.026,0.026,0.0,0.041
51,1748979946.18,75,1.673,1.050,9.322,1.83,0.027,0.027,0.0,0.043
52,1748979946.23,74,1.771,0.983,9.758,1.84,0.026,0.026,0.0,1.048
53,1748979947.28,75,10.970,7.928,28.296,0.57,0.024,0.024,0.0,2.263
54,1748979949.54,72,18.896,19.087,32.823,0.92,0.025,0.025,0.0,2.265
55,1748979951.81,72,28.463,35.503,29.993,0.04,0.031,0.031,0.0,1.054
56,1748979952.86,75,15.822,18.327,16.748,0.00,0.024,0.024,0.0,1.045
57,1748979953.91,75,7.911,9.206,8.465,0.00,0.024,0.024,0.0,0.040
58,1748979953.96,75,4.131,4.764,4.407,0.01,0.029,0.029,0.0,0.044
59,1748979954.01,73,2.066,6.910,10.368,0.11,0.028,0.028,0.0,0.046
60,1748979954.06,74,1.033,6.474,9.148,0.22,0.029,0.029,0.0,0.044
61,1748979954.11,75,4.135,5.844,7.009,0.32,0.028,0.028,0.0,0.045
62,1748979954.16,75,3.184,4.506,5.235,0.40,0.028,0.028,0.0,0.044
63,1748979954.21,75,2.593,3.179,3.649,0.50,0.038,0.038,0.0,0.057
64,1748979954.27,75,3.433,1.864,2.186,0.56,0.022,0.022,0.0,0.037
65,1748979954.32,75,1.717,1.122,1.294,0.63,0.022,0.022,0.0,0.038
66,1748979954.37,75,0.858,1.027,1.038,0.71,0.024,0.024,0.0,0.040
67,1748979954.42,75,0.429,1.147,1.158,0.78,0.027,0.027,0.0,0.042
68,1748979954.47,75,0.215,1.297,1.268,0.84,0.023,0.023,0.0,0.038
69,1748979954.52,75,0.107,1.475,1.457,0.91,0.022,0.022,0.0,0.036
70,1748979954.57,75,0.054,1.711,1.729,0.98,0.027,0.027,0.0,0.042
71,1748979954.62,75,0.027,1.786,1.754,1.05,0.029,0.029,0.0,0.045
72,1748979954.67,75,0.013,1.787,1.793,1.10,0.029,0.029,0.0,0.045
73,1748979954.72,74,0.007,1.907,1.894,1.17,0.032,0.032,0.0,0.047
74,1748979954.77,75,1.332,1.748,1.820,1.21,0.027,0.027,0.0,0.040
75,1748979954.82,73,2.254,1.695,1.825,1.27,0.027,0.027,0.0,0.042
76,1748979954.87,75,2.713,1.754,1.853,1.32,0.028,0.028,0.0,0.043
77,1748979954.92,73,2.998,1.762,1.753,1.36,0.028,0.028,0.0,0.043
78,1748979954.97,74,3.296,1.625,1.657,1.41,0.028,0.028,0.0,0.044
79,1748979955.02,75,3.673,1.577,1.579,1.44,0.026,0.026,0.0,0.040
80,1748979955.08,75,1.836,1.576,1.483,1.48,0.028,0.028,0.0,0.042
81,1748979955.13,75,3.728,1.463,1.363,1.52,0.033,0.033,0.0,0.051
82,1748979955.18,75,6.055,1.395,1.470,1.56,0.033,0.033,0.0,0.050
83,1748979955.23,75,6.982,1.270,1.392,1.58,0.029,0.029,0.0,0.042
84,1748979955.28,73,8.330,1.253,1.314,1.61,0.030,0.030,0.0,0.044
85,1748979955.33,75,10.516,1.390,1.273,1.64,0.027,0.027,0.0,0.042
86,1748979955.39,75,11.041,1.331,1.256,1.66,0.026,0.026,0.0,0.043
87,1748979955.44,75,9.842,1.158,1.279,1.69,0.030,0.030,0.0,0.046
88,1748979955.49,75,7.500,1.099,1.212,1.71,0.027,0.027,0.0,0.045
89,1748979955.54,75,6.253,1.116,1.233,1.73,0.031,0.031,0.0,0.045
90,1748979955.59,75,5.732,0.973,1.284,1.74,0.029,0.029,0.0,0.043
91,1748979955.64,75,7.622,1.054,1.162,1.76,0.031,0.031,0.0,0.048
92,1748979955.69,75,8.906,1.097,1.132,1.78,0.028,0.028,0.0,1.049
93,1748979956.74,72,33.073,8.200,6.714,0.56,0.025,0.025,0.0,2.266
94,1748979959.00,73,55.410,14.885,9.796,0.93,0.023,0.023,0.0,2.266
95,1748979961.27,74,37.627,20.657,15.080,0.97,0.020,0.020,0.0,3.271
96,1748979964.54,73,22.391,12.864,18.776,0.11,0.023,0.023,0.0,1.045
97,1748979965.59,73,14.972,9.297,12.197,0.01,0.022,0.022,0.0,1.045
98,1748979966.63,75,7.952,4.863,6.336,0.00,0.024,0.024,0.0,0.039
99,1748979966.68,75,4.348,2.799,3.541,0.01,0.027,0.027,0.0,1.051
100,1748979967.73,75,3.329,2.426,2.695,0.04,0.033,0.033,0.0,1.054
